id,name,status,conclusion,created_at,updated_at,head_branch,loaded_at
4031,CI Build,completed,success,2024-05-12T16:36:00,2024-05-12T17:22:59.438923,feature/PROJ-103-implement-api,2025-10-28T11:19:53.151551
4041,CI Build,completed,failure,2024-10-06T06:45:00,2024-10-06T07:31:13.680605,feature/PROJ-104-implement-api,2025-10-28T11:19:53.151569
4043,CI Build,completed,success,2024-10-06T12:16:09.454266,2024-10-06T12:56:53.230623,feature/PROJ-104-implement-api,2025-10-28T11:19:53.151582
4051,CI Build,completed,success,2024-10-12T00:46:00,2024-10-12T01:21:49.436220,feature/PROJ-105-implement-api,2025-10-28T11:19:53.151598
4061,CI Build,completed,success,2024-09-07T11:44:00,2024-09-07T12:25:02.915706,feature/PROJ-106-implement-api,2025-10-28T11:19:53.151612
3011,CI Build,completed,failure,2024-04-12T11:24:00,2024-04-12T12:13:45.883418,fix/issue-1,2025-10-28T11:19:53.151628
3013,CI Build,completed,success,2024-04-12T19:16:39.922929,2024-04-12T20:46:39.978783,fix/issue-1,2025-10-28T11:19:53.151640
3021,CI Build,completed,failure,2024-06-20T03:29:00,2024-06-20T03:51:32.252403,fix/issue-2,2025-10-28T11:19:53.151654
3023,CI Build,completed,success,2024-06-20T07:42:52.007670,2024-06-20T08:24:58.892926,fix/issue-2,2025-10-28T11:19:53.151665
3031,CI Build,completed,success,2024-06-05T17:46:00,2024-06-05T19:17:01.780180,fix/issue-3,2025-10-28T11:19:53.151680
3032,Deploy to Production,completed,success,2024-06-05T20:45:21.241362,2024-06-05T20:57:21.241362,fix/issue-3,2025-10-28T11:19:53.151687
