id,number,title,state,created_at,closed_at,labels,creator,assignees,loaded_at
1101,101,[PROJ-101] Implement new feature,closed,2024-03-15T23:17:00,2024-03-18T23:17:00,"[""feature"", ""backend""]",ito-mgr,ito-mgr,2025-10-29T02:50:10.879535
1102,102,[PROJ-102] Implement new feature,closed,2024-06-27T11:10:00,2024-06-29T11:10:00,"[""feature"", ""backend""]",ito-mgr,kato-dev,2025-10-29T02:50:10.879555
1103,103,[PROJ-103] Implement new feature,closed,2024-05-03T16:36:00,2024-05-13T17:45:25.515092,"[""feature"", ""backend""]",yoshida-eng,"ito-mgr,nakamura-lead",2025-10-29T02:50:10.879585
1104,104,[PROJ-104] Implement new feature,closed,2024-09-27T06:45:00,2024-10-06T07:33:01.422885,"[""feature"", ""backend""]",yoshida-eng,"ito-mgr,yoshida-eng",2025-10-29T02:50:10.879612
1105,105,[PROJ-105] Implement new feature,closed,2024-10-02T00:46:00,2024-10-17T02:44:52.625289,"[""feature"", ""backend""]",ito-mgr,kato-dev,2025-10-29T02:50:10.879634
1106,106,[PROJ-106] Implement new feature,closed,2024-08-31T11:44:00,2024-09-15T20:40:21.888906,"[""feature"", ""backend""]",ito-mgr,nakamura-lead,2025-10-29T02:50:10.879672
1001,1,Fix bug in authentication module,closed,2024-04-02T11:24:00,2024-04-17T13:23:09.842454,"[""bug"", ""frontend""]",ito-mgr,"ito-mgr,yoshida-eng",2025-10-29T02:50:10.879693
1002,2,Fix bug in authentication module,closed,2024-06-09T03:29:00,2024-06-18T04:43:13.989887,"[""bug"", ""frontend""]",ito-mgr,"kato-dev,nakamura-lead",2025-10-29T02:50:10.879714
1003,3,Fix bug in authentication module,closed,2024-05-27T17:46:00,2024-06-16T03:29:51.325990,"[""bug"", ""frontend""]",nakamura-lead,"kato-dev,yoshida-eng",2025-10-29T02:50:10.879762
1004,4,Fix bug in authentication module,closed,2024-05-25T14:38:00,2024-05-27T14:38:00,"[""bug"", ""frontend""]",nakamura-lead,"nakamura-lead,kato-dev",2025-10-29T02:50:10.879770
