id,iid,title,state,created_at,closed_at,labels,author,assignees,loaded_at
2001,1,[GL-1] Feature: Implement module 1,closed,2024-05-05T07:15:00,2024-05-26T07:15:00,"[""feature""]",kato.dev,"kato.dev,yoshida.eng",2025-10-29T02:50:10.880739
2002,2,[GL-2] Enhancement: Implement module 2,closed,2024-03-27T00:34:00,2024-04-13T00:34:00,"[""enhancement""]",ito.mgr,"nakamura.lead,kato.dev",2025-10-29T02:50:10.880739
2003,3,[GL-3] Bug: Implement module 3,opened,2024-08-28T18:01:00,,"[""bug""]",ito.mgr,"kato.dev,yoshida.eng",2025-10-29T02:50:10.880739
2004,4,[GL-4] Enhancement: Implement module 4,closed,2024-02-21T22:43:00,2024-03-10T22:43:00,"[""enhancement""]",nakamura.lead,nakamura.lead,2025-10-29T02:50:10.880739
2005,5,[GL-5] Feature: Implement module 5,closed,2024-07-05T13:12:00,2024-08-04T13:12:00,"[""feature""]",yoshida.eng,"nakamura.lead,kato.dev",2025-10-29T02:50:10.880739
2006,6,[GL-6] Enhancement: Implement module 6,opened,2024-06-01T18:25:00,,"[""enhancement""]",kato.dev,nakamura.lead,2025-10-29T02:50:10.880739
2007,7,[GL-7] Bug: Implement module 7,opened,2024-05-19T02:36:00,,"[""bug""]",ito.mgr,nakamura.lead,2025-10-29T02:50:10.880739
2008,8,[GL-8] Bug: Implement module 8,closed,2024-02-09T20:52:00,2024-03-08T20:52:00,"[""bug""]",ito.mgr,"yoshida.eng,ito.mgr",2025-10-29T02:50:10.880739
2009,9,[GL-9] Enhancement: Implement module 9,closed,2024-07-24T08:39:00,2024-08-17T08:39:00,"[""enhancement""]",yoshida.eng,yoshida.eng,2025-10-29T02:50:10.880739
2010,10,[GL-10] Enhancement: Implement module 10,closed,2024-10-22T15:13:00,2024-11-20T15:13:00,"[""enhancement""]",ito.mgr,"ito.mgr,nakamura.lead",2025-10-29T02:50:10.880739
2011,11,[GL-11] Feature: Implement module 11,closed,2024-11-16T01:33:00,2024-12-03T01:33:00,"[""feature""]",yoshida.eng,nakamura.lead,2025-10-29T02:50:10.880739
2012,12,[GL-12] Feature: Implement module 12,opened,2024-08-10T13:20:00,,"[""feature""]",yoshida.eng,"nakamura.lead,yoshida.eng",2025-10-29T02:50:10.880739
2013,13,[GL-13] Bug: Implement module 13,closed,2024-11-26T05:16:00,2024-12-06T05:16:00,"[""bug""]",yoshida.eng,yoshida.eng,2025-10-29T02:50:10.880739
2014,14,[GL-14] Bug: Implement module 14,closed,2024-04-08T00:15:00,2024-04-20T00:15:00,"[""bug""]",ito.mgr,"ito.mgr,nakamura.lead",2025-10-29T02:50:10.880739
2015,15,[GL-15] Bug: Implement module 15,closed,2024-01-19T06:10:00,2024-01-22T06:10:00,"[""bug""]",nakamura.lead,kato.dev,2025-10-29T02:50:10.880739
2016,16,[GL-16] Feature: Implement module 16,opened,2024-09-05T00:03:00,,"[""feature""]",nakamura.lead,"kato.dev,yoshida.eng",2025-10-29T02:50:10.880739
2017,17,[GL-17] Bug: Implement module 17,opened,2024-07-05T21:42:00,,"[""bug""]",yoshida.eng,kato.dev,2025-10-29T02:50:10.880739
2018,18,[GL-18] Enhancement: Implement module 18,opened,2024-10-19T23:32:00,,"[""enhancement""]",nakamura.lead,"kato.dev,ito.mgr",2025-10-29T02:50:10.880739
2019,19,[GL-19] Bug: Implement module 19,opened,2024-11-03T03:49:00,,"[""bug""]",ito.mgr,ito.mgr,2025-10-29T02:50:10.880739
2020,20,[GL-20] Bug: Implement module 20,closed,2024-04-21T04:06:00,2024-05-02T04:06:00,"[""bug""]",ito.mgr,"kato.dev,yoshida.eng",2025-10-29T02:50:10.880739
