id,ref,status,created_at,started_at,finished_at,duration,loaded_at
4001,feature/gl-1,success,2024-11-20T06:54:00,2024-11-20T07:00:00,2024-11-20T08:07:07.167251,4027,2025-10-28T11:19:53.152678
4002,feature/gl-1,success,2024-11-26T05:16:00,2024-11-26T05:22:00,2024-11-26T06:53:49.016478,5509,2025-10-28T11:19:53.152678
4003,feature/gl-2,success,2024-02-28T04:12:00,2024-02-28T04:18:00,2024-02-28T04:50:29.602538,1949,2025-10-28T11:19:53.152678
4004,feature/gl-2,success,2024-06-07T14:31:00,2024-06-07T14:37:00,2024-06-07T15:57:23.055057,4823,2025-10-28T11:19:53.152678
4005,feature/gl-3,success,2024-04-13T05:17:00,2024-04-13T05:23:00,2024-04-13T06:05:16.725396,2536,2025-10-28T11:19:53.152678
4006,feature/gl-3,success,2024-05-22T21:35:00,2024-05-22T21:41:00,2024-05-22T22:26:50.320198,2750,2025-10-28T11:19:53.152678
4007,feature/gl-4,success,2024-01-11T01:55:00,2024-01-11T02:01:00,2024-01-11T03:51:41.129569,6641,2025-10-28T11:19:53.152678
4008,feature/gl-4,success,2024-06-01T02:57:00,2024-06-01T03:03:00,2024-06-01T04:58:57.477775,6957,2025-10-28T11:19:53.152678
4009,feature/gl-4,failed,2024-12-09T21:56:00,2024-12-09T22:02:00,2024-12-09T22:40:07.653979,2287,2025-10-28T11:19:53.152678
4010,feature/gl-5,failed,2024-04-30T03:36:00,2024-04-30T03:42:00,2024-04-30T05:18:06.194198,5766,2025-10-28T11:19:53.152678
4011,feature/gl-5,success,2024-09-24T21:53:00,2024-09-24T21:59:00,2024-09-24T23:21:14.266602,4934,2025-10-28T11:19:53.152678
4012,feature/gl-6,success,2024-09-11T02:15:00,2024-09-11T02:21:00,2024-09-11T03:44:59.035102,5039,2025-10-28T11:19:53.152678
4013,feature/gl-6,success,2024-06-09T10:53:00,2024-06-09T10:59:00,2024-06-09T12:21:35.361591,4955,2025-10-28T11:19:53.152678
4014,feature/gl-6,success,2024-04-30T13:13:00,2024-04-30T13:19:00,2024-04-30T14:01:59.100707,2579,2025-10-28T11:19:53.152678
4015,feature/gl-7,success,2024-08-13T13:16:00,2024-08-13T13:22:00,2024-08-13T15:09:39.659642,6459,2025-10-28T11:19:53.152678
4016,feature/gl-7,success,2024-09-30T11:44:00,2024-09-30T11:50:00,2024-09-30T13:45:23.038803,6923,2025-10-28T11:19:53.152678
4017,feature/gl-7,success,2024-08-04T15:43:00,2024-08-04T15:49:00,2024-08-04T16:41:10.272123,3130,2025-10-28T11:19:53.152678
4018,feature/gl-8,success,2024-07-04T15:45:00,2024-07-04T15:51:00,2024-07-04T16:54:05.792159,3785,2025-10-28T11:19:53.152678
4019,feature/gl-8,success,2024-11-26T19:02:00,2024-11-26T19:08:00,2024-11-26T20:53:43.954019,6343,2025-10-28T11:19:53.152678
4020,feature/gl-9,success,2024-12-19T21:15:00,2024-12-19T21:21:00,2024-12-19T22:13:46.107640,3166,2025-10-28T11:19:53.152678
4021,feature/gl-9,success,2024-11-23T22:23:00,2024-11-23T22:29:00,2024-11-24T00:20:17.048333,6677,2025-10-28T11:19:53.152678
4022,feature/gl-10,success,2024-08-14T12:00:00,2024-08-14T12:06:00,2024-08-14T13:57:52.861140,6712,2025-10-28T11:19:53.152678
4023,feature/gl-10,success,2024-05-10T09:05:00,2024-05-10T09:11:00,2024-05-10T11:05:16.140985,6856,2025-10-28T11:19:53.152678
4024,feature/gl-11,success,2024-04-17T05:58:00,2024-04-17T06:04:00,2024-04-17T07:13:29.767578,4169,2025-10-28T11:19:53.152678
4025,feature/gl-11,success,2024-11-25T13:50:00,2024-11-25T13:56:00,2024-11-25T14:29:02.961079,1982,2025-10-28T11:19:53.152678
4026,feature/gl-11,success,2024-09-08T15:47:00,2024-09-08T15:53:00,2024-09-08T17:00:09.991120,4029,2025-10-28T11:19:53.152678
4027,feature/gl-12,success,2024-02-21T05:44:00,2024-02-21T05:50:00,2024-02-21T06:43:29.238404,3209,2025-10-28T11:19:53.152678
4028,feature/gl-12,success,2024-08-03T19:46:00,2024-08-03T19:52:00,2024-08-03T21:35:12.511461,6192,2025-10-28T11:19:53.152678
4029,feature/gl-12,success,2024-08-20T22:01:00,2024-08-20T22:07:00,2024-08-20T23:45:34.667404,5914,2025-10-28T11:19:53.152678
4030,feature/gl-13,success,2024-11-18T14:50:00,2024-11-18T14:56:00,2024-11-18T16:23:41.933551,5261,2025-10-28T11:19:53.152678
4031,feature/gl-13,success,2024-04-12T20:19:00,2024-04-12T20:25:00,2024-04-12T21:23:14.097734,3494,2025-10-28T11:19:53.152678
4032,feature/gl-14,success,2024-05-07T16:45:00,2024-05-07T16:51:00,2024-05-07T18:48:16.188769,7036,2025-10-28T11:19:53.152678
4033,feature/gl-14,failed,2024-03-07T19:43:00,2024-03-07T19:49:00,2024-03-07T20:55:55.707507,4015,2025-10-28T11:19:53.152678
4034,feature/gl-15,success,2024-09-01T23:08:00,2024-09-01T23:14:00,2024-09-02T00:07:27.671350,3207,2025-10-28T11:19:53.152678
4035,feature/gl-15,success,2024-06-16T09:12:00,2024-06-16T09:18:00,2024-06-16T09:55:35.754334,2255,2025-10-28T11:19:53.152678
4036,feature/gl-15,success,2024-07-20T12:53:00,2024-07-20T12:59:00,2024-07-20T14:48:35.443724,6575,2025-10-28T11:19:53.152678
