id,job_name,build_number,result,timestamp,duration,commit_messages,loaded_at
backend-build-1,backend-build,1,SUCCESS,1719840900000,178317,"[""Fix for PROJ-1""]",2025-10-28T11:19:53.157920
backend-build-2,backend-build,2,SUCCESS,1710526920000,268361,"[""Fix for PROJ-2""]",2025-10-28T11:19:53.157920
backend-build-3,backend-build,3,SUCCESS,1712004420000,125469,"[""Fix for PROJ-3""]",2025-10-28T11:19:53.157920
backend-build-4,backend-build,4,SUCCESS,1733389980000,293190,"[""Fix for PROJ-4""]",2025-10-28T11:19:53.157920
backend-build-5,backend-build,5,SUCCESS,1727341860000,78440,"[""Fix for PROJ-5""]",2025-10-28T11:19:53.157920
backend-build-6,backend-build,6,FAILURE,1726142760000,66230,"[""Fix for PROJ-6""]",2025-10-28T11:19:53.157920
backend-build-7,backend-build,7,SUCCESS,1734178020000,201681,"[""Fix for PROJ-7""]",2025-10-28T11:19:53.157920
backend-build-8,backend-build,8,SUCCESS,1708736940000,170455,"[""Fix for PROJ-8""]",2025-10-28T11:19:53.157920
backend-build-9,backend-build,9,SUCCESS,1733207340000,124636,"[""Fix for PROJ-9""]",2025-10-28T11:19:53.157920
backend-build-10,backend-build,10,FAILURE,1733066460000,217481,"[""Fix for PROJ-10""]",2025-10-28T11:19:53.157920
backend-build-11,backend-build,11,FAILURE,1724031960000,277650,"[""Fix for PROJ-11""]",2025-10-28T11:19:53.157920
backend-build-12,backend-build,12,FAILURE,1729192380000,252373,"[""Fix for PROJ-12""]",2025-10-28T11:19:53.157920
backend-build-13,backend-build,13,SUCCESS,1716515460000,76973,"[""Fix for PROJ-13""]",2025-10-28T11:19:53.157920
backend-build-14,backend-build,14,SUCCESS,1730689500000,102722,"[""Fix for PROJ-14""]",2025-10-28T11:19:53.157920
backend-build-15,backend-build,15,FAILURE,1721667660000,99105,"[""Fix for PROJ-15""]",2025-10-28T11:19:53.157920
