process_type,case_id,metric_name,metric_value,metric_unit
employee-onboarding,CAND-0001,recruitment_days,2,days
employee-onboarding,CAND-0002,recruitment_days,7,days
employee-onboarding,CAND-0003,recruitment_days,2,days
employee-onboarding,CAND-0004,recruitment_days,7,days
employee-onboarding,CAND-0005,recruitment_days,33,days
employee-onboarding,CAND-0005,candidate_score,71,score
employee-onboarding,CAND-0005,recruitment_cost,94560,JPY
employee-onboarding,CAND-0006,recruitment_days,2,days
employee-onboarding,CAND-0007,recruitment_days,18,days
employee-onboarding,CAND-0008,recruitment_days,2,days
employee-onboarding,CAND-0009,recruitment_days,13,days
employee-onboarding,CAND-0010,recruitment_days,15,days
employee-onboarding,CAND-0011,recruitment_days,7,days
employee-onboarding,CAND-0012,recruitment_days,2,days
employee-onboarding,CAND-0013,recruitment_days,2,days
employee-onboarding,CAND-0014,recruitment_days,7,days
employee-onboarding,CAND-0015,recruitment_days,18,days
employee-onboarding,CAND-0016,recruitment_days,34,days
employee-onboarding,CAND-0016,candidate_score,68,score
employee-onboarding,CAND-0016,recruitment_cost,73627,JPY
employee-onboarding,CAND-0017,recruitment_days,16,days
employee-onboarding,CAND-0018,recruitment_days,15,days
employee-onboarding,CAND-0019,recruitment_days,2,days
employee-onboarding,CAND-0020,recruitment_days,2,days
employee-onboarding,CAND-0021,recruitment_days,2,days
employee-onboarding,CAND-0022,recruitment_days,34,days
employee-onboarding,CAND-0022,candidate_score,84,score
employee-onboarding,CAND-0022,recruitment_cost,265591,JPY
employee-onboarding,CAND-0023,recruitment_days,2,days
employee-onboarding,CAND-0024,recruitment_days,2,days
employee-onboarding,CAND-0025,recruitment_days,2,days
employee-onboarding,CAND-0026,recruitment_days,2,days
employee-onboarding,CAND-0027,recruitment_days,23,days
employee-onboarding,CAND-0027,candidate_score,66,score
employee-onboarding,CAND-0027,recruitment_cost,111551,JPY
employee-onboarding,CAND-0028,recruitment_days,20,days
employee-onboarding,CAND-0029,recruitment_days,8,days
employee-onboarding,CAND-0030,recruitment_days,14,days
employee-onboarding,CAND-0031,recruitment_days,2,days
employee-onboarding,CAND-0032,recruitment_days,6,days
employee-onboarding,CAND-0033,recruitment_days,9,days
employee-onboarding,CAND-0034,recruitment_days,2,days
employee-onboarding,CAND-0035,recruitment_days,2,days
employee-onboarding,CAND-0036,recruitment_days,14,days
employee-onboarding,CAND-0037,recruitment_days,2,days
employee-onboarding,CAND-0038,recruitment_days,2,days
employee-onboarding,CAND-0039,recruitment_days,11,days
employee-onboarding,CAND-0040,recruitment_days,41,days
employee-onboarding,CAND-0040,candidate_score,83,score
employee-onboarding,CAND-0040,recruitment_cost,184542,JPY
