process_type,case_id,metric_name,metric_value,metric_unit
invoice-approval,INV-0001,processing_days,15,days
invoice-approval,INV-0001,amount,1425378,JPY
invoice-approval,INV-0002,processing_days,13,days
invoice-approval,INV-0002,amount,643983,JPY
invoice-approval,INV-0003,processing_days,12,days
invoice-approval,INV-0003,amount,390860,JPY
invoice-approval,INV-0004,processing_days,30,days
invoice-approval,INV-0004,amount,1960321,JPY
invoice-approval,INV-0005,processing_days,15,days
invoice-approval,INV-0005,amount,1412808,JPY
invoice-approval,INV-0006,processing_days,27,days
invoice-approval,INV-0006,amount,646047,JPY
invoice-approval,INV-0007,processing_days,13,days
invoice-approval,INV-0007,amount,1652648,JPY
invoice-approval,INV-0008,processing_days,22,days
invoice-approval,INV-0008,amount,975663,JPY
invoice-approval,INV-0009,processing_days,11,days
invoice-approval,INV-0009,amount,1874185,JPY
invoice-approval,INV-0010,processing_days,27,days
invoice-approval,INV-0010,amount,70419,JPY
invoice-approval,INV-0011,processing_days,23,days
invoice-approval,INV-0011,amount,828128,JPY
invoice-approval,INV-0012,processing_days,5,days
invoice-approval,INV-0012,amount,1394737,JPY
invoice-approval,INV-0013,processing_days,27,days
invoice-approval,INV-0013,amount,1834125,JPY
invoice-approval,INV-0014,processing_days,17,days
invoice-approval,INV-0014,amount,495772,JPY
invoice-approval,INV-0015,processing_days,8,days
invoice-approval,INV-0015,amount,1365054,JPY
invoice-approval,INV-0016,processing_days,25,days
invoice-approval,INV-0016,amount,369589,JPY
invoice-approval,INV-0017,processing_days,13,days
invoice-approval,INV-0017,amount,1087910,JPY
invoice-approval,INV-0018,processing_days,11,days
invoice-approval,INV-0018,amount,927534,JPY
invoice-approval,INV-0019,processing_days,9,days
invoice-approval,INV-0019,amount,1391447,JPY
invoice-approval,INV-0020,processing_days,26,days
invoice-approval,INV-0020,amount,1752693,JPY
invoice-approval,INV-0021,processing_days,24,days
invoice-approval,INV-0021,amount,312998,JPY
invoice-approval,INV-0022,processing_days,30,days
invoice-approval,INV-0022,amount,1531672,JPY
invoice-approval,INV-0023,processing_days,19,days
invoice-approval,INV-0023,amount,1265050,JPY
invoice-approval,INV-0024,processing_days,20,days
invoice-approval,INV-0024,amount,1256021,JPY
invoice-approval,INV-0025,processing_days,31,days
invoice-approval,INV-0025,amount,206952,JPY
invoice-approval,INV-0026,processing_days,21,days
invoice-approval,INV-0026,amount,1387846,JPY
invoice-approval,INV-0027,processing_days,18,days
invoice-approval,INV-0027,amount,1839639,JPY
invoice-approval,INV-0028,processing_days,32,days
invoice-approval,INV-0028,amount,1559815,JPY
invoice-approval,INV-0029,processing_days,26,days
invoice-approval,INV-0029,amount,1843712,JPY
invoice-approval,INV-0030,processing_days,6,days
invoice-approval,INV-0030,amount,791494,JPY
invoice-approval,INV-0031,processing_days,25,days
invoice-approval,INV-0031,amount,1189199,JPY
invoice-approval,INV-0032,processing_days,12,days
invoice-approval,INV-0032,amount,781392,JPY
invoice-approval,INV-0033,processing_days,28,days
invoice-approval,INV-0033,amount,254740,JPY
invoice-approval,INV-0034,processing_days,23,days
invoice-approval,INV-0034,amount,1292704,JPY
invoice-approval,INV-0035,processing_days,22,days
invoice-approval,INV-0035,amount,1946672,JPY
invoice-approval,INV-0036,processing_days,31,days
invoice-approval,INV-0036,amount,1097627,JPY
invoice-approval,INV-0037,processing_days,27,days
invoice-approval,INV-0037,amount,1956941,JPY
invoice-approval,INV-0038,processing_days,7,days
invoice-approval,INV-0038,amount,759429,JPY
invoice-approval,INV-0039,processing_days,18,days
invoice-approval,INV-0039,amount,1234099,JPY
invoice-approval,INV-0040,processing_days,20,days
invoice-approval,INV-0040,amount,479576,JPY
invoice-approval,INV-0041,processing_days,8,days
invoice-approval,INV-0041,amount,1060222,JPY
invoice-approval,INV-0042,processing_days,29,days
invoice-approval,INV-0042,amount,933553,JPY
invoice-approval,INV-0043,processing_days,24,days
invoice-approval,INV-0043,amount,1812793,JPY
invoice-approval,INV-0044,processing_days,31,days
invoice-approval,INV-0044,amount,667135,JPY
invoice-approval,INV-0045,processing_days,29,days
invoice-approval,INV-0045,amount,1726918,JPY
invoice-approval,INV-0046,processing_days,30,days
invoice-approval,INV-0046,amount,1437579,JPY
invoice-approval,INV-0047,processing_days,13,days
invoice-approval,INV-0047,amount,1758921,JPY
invoice-approval,INV-0048,processing_days,28,days
invoice-approval,INV-0048,amount,93632,JPY
invoice-approval,INV-0049,processing_days,12,days
invoice-approval,INV-0049,amount,1607774,JPY
invoice-approval,INV-0050,processing_days,23,days
invoice-approval,INV-0050,amount,830684,JPY
invoice-approval,INV-0051,processing_days,13,days
invoice-approval,INV-0051,amount,800718,JPY
invoice-approval,INV-0052,processing_days,25,days
invoice-approval,INV-0052,amount,724525,JPY
invoice-approval,INV-0053,processing_days,20,days
invoice-approval,INV-0053,amount,382255,JPY
invoice-approval,INV-0054,processing_days,19,days
invoice-approval,INV-0054,amount,416174,JPY
invoice-approval,INV-0055,processing_days,25,days
invoice-approval,INV-0055,amount,1089242,JPY
invoice-approval,INV-0056,processing_days,28,days
invoice-approval,INV-0056,amount,347552,JPY
invoice-approval,INV-0057,processing_days,35,days
invoice-approval,INV-0057,amount,545467,JPY
invoice-approval,INV-0058,processing_days,26,days
invoice-approval,INV-0058,amount,1134186,JPY
invoice-approval,INV-0059,processing_days,25,days
invoice-approval,INV-0059,amount,605883,JPY
invoice-approval,INV-0060,processing_days,18,days
invoice-approval,INV-0060,amount,1785273,JPY
invoice-approval,INV-0061,processing_days,19,days
invoice-approval,INV-0061,amount,573848,JPY
invoice-approval,INV-0062,processing_days,29,days
invoice-approval,INV-0062,amount,497048,JPY
invoice-approval,INV-0063,processing_days,20,days
invoice-approval,INV-0063,amount,1155148,JPY
invoice-approval,INV-0064,processing_days,20,days
invoice-approval,INV-0064,amount,653797,JPY
invoice-approval,INV-0065,processing_days,17,days
invoice-approval,INV-0065,amount,1817445,JPY
invoice-approval,INV-0066,processing_days,12,days
invoice-approval,INV-0066,amount,1244062,JPY
invoice-approval,INV-0067,processing_days,18,days
invoice-approval,INV-0067,amount,1015096,JPY
invoice-approval,INV-0068,processing_days,21,days
invoice-approval,INV-0068,amount,1714975,JPY
invoice-approval,INV-0069,processing_days,7,days
invoice-approval,INV-0069,amount,1611144,JPY
invoice-approval,INV-0070,processing_days,18,days
invoice-approval,INV-0070,amount,529070,JPY
invoice-approval,INV-0071,processing_days,22,days
invoice-approval,INV-0071,amount,1608353,JPY
invoice-approval,INV-0072,processing_days,8,days
invoice-approval,INV-0072,amount,387535,JPY
invoice-approval,INV-0073,processing_days,7,days
invoice-approval,INV-0073,amount,324080,JPY
invoice-approval,INV-0074,processing_days,13,days
invoice-approval,INV-0074,amount,194156,JPY
invoice-approval,INV-0075,processing_days,28,days
invoice-approval,INV-0075,amount,1664737,JPY
invoice-approval,INV-0076,processing_days,17,days
invoice-approval,INV-0076,amount,1718898,JPY
invoice-approval,INV-0077,processing_days,8,days
invoice-approval,INV-0077,amount,422710,JPY
invoice-approval,INV-0078,processing_days,16,days
invoice-approval,INV-0078,amount,337632,JPY
invoice-approval,INV-0079,processing_days,31,days
invoice-approval,INV-0079,amount,461735,JPY
invoice-approval,INV-0080,processing_days,13,days
invoice-approval,INV-0080,amount,23727,JPY
invoice-approval,INV-0081,processing_days,22,days
invoice-approval,INV-0081,amount,196682,JPY
invoice-approval,INV-0082,processing_days,28,days
invoice-approval,INV-0082,amount,1129814,JPY
invoice-approval,INV-0083,processing_days,21,days
invoice-approval,INV-0083,amount,1542608,JPY
invoice-approval,INV-0084,processing_days,23,days
invoice-approval,INV-0084,amount,623061,JPY
invoice-approval,INV-0085,processing_days,25,days
invoice-approval,INV-0085,amount,1922790,JPY
invoice-approval,INV-0086,processing_days,30,days
invoice-approval,INV-0086,amount,1343037,JPY
invoice-approval,INV-0087,processing_days,29,days
invoice-approval,INV-0087,amount,137837,JPY
invoice-approval,INV-0088,processing_days,16,days
invoice-approval,INV-0088,amount,864422,JPY
invoice-approval,INV-0089,processing_days,25,days
invoice-approval,INV-0089,amount,406849,JPY
invoice-approval,INV-0090,processing_days,8,days
invoice-approval,INV-0090,amount,773300,JPY
invoice-approval,INV-0091,processing_days,9,days
invoice-approval,INV-0091,amount,986591,JPY
invoice-approval,INV-0092,processing_days,25,days
invoice-approval,INV-0092,amount,562455,JPY
invoice-approval,INV-0093,processing_days,30,days
invoice-approval,INV-0093,amount,489479,JPY
invoice-approval,INV-0094,processing_days,24,days
invoice-approval,INV-0094,amount,875705,JPY
