process_type,case_id,metric_name,metric_value,metric_unit
itsm,INC-0001,resolution_time_hours,11.37,hours
itsm,INC-0001,priority_weight,8.0,weight
itsm,INC-0002,resolution_time_hours,29.2,hours
itsm,INC-0002,priority_weight,1.0,weight
itsm,INC-0003,resolution_time_hours,20.99,hours
itsm,INC-0003,priority_weight,8.0,weight
itsm,INC-0004,resolution_time_hours,48.39,hours
itsm,INC-0004,priority_weight,8.0,weight
itsm,INC-0005,resolution_time_hours,26.35,hours
itsm,INC-0005,priority_weight,8.0,weight
itsm,INC-0006,resolution_time_hours,17.99,hours
itsm,INC-0006,priority_weight,1.0,weight
itsm,INC-0007,resolution_time_hours,13.12,hours
itsm,INC-0007,priority_weight,1.0,weight
itsm,INC-0008,resolution_time_hours,13.4,hours
itsm,INC-0008,priority_weight,4.0,weight
itsm,INC-0009,resolution_time_hours,18.45,hours
itsm,INC-0009,priority_weight,2.0,weight
itsm,INC-0010,resolution_time_hours,26.24,hours
itsm,INC-0010,priority_weight,8.0,weight
itsm,INC-0011,resolution_time_hours,29.96,hours
itsm,INC-0011,priority_weight,8.0,weight
itsm,INC-0012,resolution_time_hours,10.58,hours
itsm,INC-0012,priority_weight,4.0,weight
itsm,INC-0013,resolution_time_hours,12.62,hours
itsm,INC-0013,priority_weight,4.0,weight
itsm,INC-0014,resolution_time_hours,16.44,hours
itsm,INC-0014,priority_weight,2.0,weight
itsm,INC-0015,resolution_time_hours,29.16,hours
itsm,INC-0015,priority_weight,8.0,weight
itsm,INC-0016,resolution_time_hours,16.09,hours
itsm,INC-0016,priority_weight,4.0,weight
itsm,INC-0017,resolution_time_hours,17.41,hours
itsm,INC-0017,priority_weight,1.0,weight
itsm,INC-0018,resolution_time_hours,15.93,hours
itsm,INC-0018,priority_weight,2.0,weight
itsm,INC-0019,resolution_time_hours,12.07,hours
itsm,INC-0019,priority_weight,8.0,weight
itsm,INC-0020,resolution_time_hours,24.89,hours
itsm,INC-0020,priority_weight,8.0,weight
itsm,INC-0021,resolution_time_hours,31.38,hours
itsm,INC-0021,priority_weight,4.0,weight
itsm,INC-0022,resolution_time_hours,12.58,hours
itsm,INC-0022,priority_weight,2.0,weight
itsm,INC-0023,resolution_time_hours,18.71,hours
itsm,INC-0023,priority_weight,2.0,weight
itsm,INC-0024,resolution_time_hours,27.89,hours
itsm,INC-0024,priority_weight,4.0,weight
itsm,INC-0025,resolution_time_hours,17.61,hours
itsm,INC-0025,priority_weight,2.0,weight
itsm,INC-0026,resolution_time_hours,37.8,hours
itsm,INC-0026,priority_weight,1.0,weight
itsm,INC-0027,resolution_time_hours,23.17,hours
itsm,INC-0027,priority_weight,1.0,weight
itsm,INC-0028,resolution_time_hours,21.67,hours
itsm,INC-0028,priority_weight,8.0,weight
itsm,INC-0029,resolution_time_hours,16.02,hours
itsm,INC-0029,priority_weight,4.0,weight
itsm,INC-0030,resolution_time_hours,28.46,hours
itsm,INC-0030,priority_weight,1.0,weight
itsm,INC-0031,resolution_time_hours,27.86,hours
itsm,INC-0031,priority_weight,8.0,weight
itsm,INC-0032,resolution_time_hours,14.46,hours
itsm,INC-0032,priority_weight,2.0,weight
itsm,INC-0033,resolution_time_hours,10.06,hours
itsm,INC-0033,priority_weight,1.0,weight
itsm,INC-0034,resolution_time_hours,11.27,hours
itsm,INC-0034,priority_weight,2.0,weight
itsm,INC-0035,resolution_time_hours,10.3,hours
itsm,INC-0035,priority_weight,4.0,weight
itsm,INC-0036,resolution_time_hours,14.06,hours
itsm,INC-0036,priority_weight,8.0,weight
itsm,INC-0037,resolution_time_hours,13.0,hours
itsm,INC-0037,priority_weight,8.0,weight
itsm,INC-0038,resolution_time_hours,26.67,hours
itsm,INC-0038,priority_weight,1.0,weight
itsm,INC-0039,resolution_time_hours,18.15,hours
itsm,INC-0039,priority_weight,1.0,weight
itsm,INC-0040,resolution_time_hours,27.09,hours
itsm,INC-0040,priority_weight,2.0,weight
itsm,INC-0041,resolution_time_hours,12.71,hours
itsm,INC-0041,priority_weight,1.0,weight
itsm,INC-0042,resolution_time_hours,10.32,hours
itsm,INC-0042,priority_weight,4.0,weight
itsm,INC-0043,resolution_time_hours,22.38,hours
itsm,INC-0043,priority_weight,2.0,weight
itsm,INC-0044,resolution_time_hours,17.53,hours
itsm,INC-0044,priority_weight,4.0,weight
itsm,INC-0045,resolution_time_hours,9.29,hours
itsm,INC-0045,priority_weight,8.0,weight
itsm,INC-0046,resolution_time_hours,14.03,hours
itsm,INC-0046,priority_weight,1.0,weight
itsm,INC-0047,resolution_time_hours,18.56,hours
itsm,INC-0047,priority_weight,1.0,weight
itsm,INC-0048,resolution_time_hours,13.55,hours
itsm,INC-0048,priority_weight,4.0,weight
itsm,INC-0049,resolution_time_hours,31.83,hours
itsm,INC-0049,priority_weight,2.0,weight
itsm,INC-0050,resolution_time_hours,30.77,hours
itsm,INC-0050,priority_weight,8.0,weight
itsm,INC-0051,resolution_time_hours,16.56,hours
itsm,INC-0051,priority_weight,4.0,weight
itsm,INC-0052,resolution_time_hours,20.15,hours
itsm,INC-0052,priority_weight,1.0,weight
itsm,INC-0053,resolution_time_hours,46.71,hours
itsm,INC-0053,priority_weight,2.0,weight
itsm,INC-0054,resolution_time_hours,28.27,hours
itsm,INC-0054,priority_weight,2.0,weight
itsm,INC-0055,resolution_time_hours,38.52,hours
itsm,INC-0055,priority_weight,8.0,weight
itsm,INC-0056,resolution_time_hours,9.64,hours
itsm,INC-0056,priority_weight,1.0,weight
itsm,INC-0057,resolution_time_hours,14.7,hours
itsm,INC-0057,priority_weight,1.0,weight
itsm,INC-0058,resolution_time_hours,25.24,hours
itsm,INC-0058,priority_weight,4.0,weight
itsm,INC-0059,resolution_time_hours,19.03,hours
itsm,INC-0059,priority_weight,4.0,weight
itsm,INC-0060,resolution_time_hours,23.06,hours
itsm,INC-0060,priority_weight,8.0,weight
itsm,INC-0061,resolution_time_hours,19.74,hours
itsm,INC-0061,priority_weight,1.0,weight
itsm,INC-0062,resolution_time_hours,45.55,hours
itsm,INC-0062,priority_weight,1.0,weight
itsm,INC-0063,resolution_time_hours,23.42,hours
itsm,INC-0063,priority_weight,4.0,weight
itsm,INC-0064,resolution_time_hours,12.27,hours
itsm,INC-0064,priority_weight,2.0,weight
itsm,INC-0065,resolution_time_hours,26.7,hours
itsm,INC-0065,priority_weight,8.0,weight
itsm,INC-0066,resolution_time_hours,31.91,hours
itsm,INC-0066,priority_weight,8.0,weight
itsm,INC-0067,resolution_time_hours,23.64,hours
itsm,INC-0067,priority_weight,1.0,weight
itsm,INC-0068,resolution_time_hours,14.24,hours
itsm,INC-0068,priority_weight,8.0,weight
itsm,INC-0069,resolution_time_hours,24.4,hours
itsm,INC-0069,priority_weight,1.0,weight
itsm,INC-0070,resolution_time_hours,14.55,hours
itsm,INC-0070,priority_weight,8.0,weight
itsm,INC-0071,resolution_time_hours,13.72,hours
itsm,INC-0071,priority_weight,4.0,weight
itsm,INC-0072,resolution_time_hours,22.96,hours
itsm,INC-0072,priority_weight,8.0,weight
itsm,INC-0073,resolution_time_hours,18.38,hours
itsm,INC-0073,priority_weight,2.0,weight
itsm,INC-0074,resolution_time_hours,24.22,hours
itsm,INC-0074,priority_weight,1.0,weight
itsm,INC-0075,resolution_time_hours,18.79,hours
itsm,INC-0075,priority_weight,2.0,weight
itsm,INC-0076,resolution_time_hours,47.52,hours
itsm,INC-0076,priority_weight,8.0,weight
itsm,INC-0077,resolution_time_hours,26.03,hours
itsm,INC-0077,priority_weight,2.0,weight
itsm,INC-0078,resolution_time_hours,27.18,hours
itsm,INC-0078,priority_weight,2.0,weight
itsm,INC-0079,resolution_time_hours,10.97,hours
itsm,INC-0079,priority_weight,1.0,weight
itsm,INC-0080,resolution_time_hours,14.35,hours
itsm,INC-0080,priority_weight,1.0,weight
itsm,INC-0081,resolution_time_hours,18.52,hours
itsm,INC-0081,priority_weight,4.0,weight
itsm,INC-0082,resolution_time_hours,14.17,hours
itsm,INC-0082,priority_weight,2.0,weight
itsm,INC-0083,resolution_time_hours,11.52,hours
itsm,INC-0083,priority_weight,1.0,weight
itsm,INC-0084,resolution_time_hours,32.07,hours
itsm,INC-0084,priority_weight,4.0,weight
itsm,INC-0085,resolution_time_hours,9.15,hours
itsm,INC-0085,priority_weight,8.0,weight
itsm,INC-0086,resolution_time_hours,23.99,hours
itsm,INC-0086,priority_weight,1.0,weight
itsm,INC-0087,resolution_time_hours,23.9,hours
itsm,INC-0087,priority_weight,4.0,weight
itsm,INC-0088,resolution_time_hours,16.07,hours
itsm,INC-0088,priority_weight,8.0,weight
itsm,INC-0089,resolution_time_hours,14.13,hours
itsm,INC-0089,priority_weight,2.0,weight
itsm,INC-0090,resolution_time_hours,17.08,hours
itsm,INC-0090,priority_weight,4.0,weight
itsm,INC-0091,resolution_time_hours,24.68,hours
itsm,INC-0091,priority_weight,8.0,weight
itsm,INC-0092,resolution_time_hours,21.83,hours
itsm,INC-0092,priority_weight,1.0,weight
itsm,INC-0093,resolution_time_hours,16.41,hours
itsm,INC-0093,priority_weight,1.0,weight
itsm,INC-0094,resolution_time_hours,31.56,hours
itsm,INC-0094,priority_weight,1.0,weight
itsm,INC-0095,resolution_time_hours,27.8,hours
itsm,INC-0095,priority_weight,4.0,weight
itsm,INC-0096,resolution_time_hours,25.13,hours
itsm,INC-0096,priority_weight,2.0,weight
itsm,INC-0097,resolution_time_hours,31.01,hours
itsm,INC-0097,priority_weight,4.0,weight
itsm,INC-0098,resolution_time_hours,15.14,hours
itsm,INC-0098,priority_weight,1.0,weight
itsm,INC-0099,resolution_time_hours,22.12,hours
itsm,INC-0099,priority_weight,2.0,weight
itsm,INC-0100,resolution_time_hours,17.01,hours
itsm,INC-0100,priority_weight,2.0,weight
