process_type,case_id,metric_name,metric_value,metric_unit
order-delivery,PO-001,revenue,1200000,JPY
order-delivery,PO-001,profit_margin,0.25,percent
order-delivery,PO-001,quantity,50,count
order-delivery,PO-002,revenue,850000,JPY
order-delivery,PO-002,profit_margin,0.18,percent
order-delivery,PO-002,quantity,30,count
order-delivery,PO-003,revenue,2500000,JPY
order-delivery,PO-003,profit_margin,0.30,percent
order-delivery,PO-003,quantity,120,count
order-delivery,PO-004,revenue,450000,JPY
order-delivery,PO-004,profit_margin,0.15,percent
order-delivery,PO-004,quantity,15,count
order-delivery,PO-005,revenue,3200000,JPY
order-delivery,PO-005,profit_margin,0.28,percent
order-delivery,PO-005,quantity,200,count
order-delivery,PO-006,revenue,680000,JPY
order-delivery,PO-006,profit_margin,0.22,percent
order-delivery,PO-006,quantity,25,count
order-delivery,PO-007,revenue,1800000,JPY
order-delivery,PO-007,profit_margin,0.27,percent
order-delivery,PO-007,quantity,80,count
order-delivery,PO-008,revenue,950000,JPY
order-delivery,PO-008,profit_margin,0.20,percent
order-delivery,PO-008,quantity,35,count
order-delivery,PO-009,revenue,1500000,JPY
order-delivery,PO-009,profit_margin,0.24,percent
order-delivery,PO-009,quantity,60,count
order-delivery,PO-010,revenue,2100000,JPY
order-delivery,PO-010,profit_margin,0.29,percent
order-delivery,PO-010,quantity,95,count
