process_type,case_id,metric_name,metric_value,metric_unit
order-delivery,ORD-0001,revenue,112489,JPY
order-delivery,ORD-0001,profit_margin,0.123,percent
order-delivery,ORD-0001,quantity,30,count
order-delivery,ORD-0002,revenue,1514104,JPY
order-delivery,ORD-0002,profit_margin,0.206,percent
order-delivery,ORD-0002,quantity,36,count
order-delivery,ORD-0003,revenue,215255,JPY
order-delivery,ORD-0003,profit_margin,0.238,percent
order-delivery,ORD-0003,quantity,81,count
order-delivery,ORD-0004,revenue,1383126,JPY
order-delivery,ORD-0004,profit_margin,0.309,percent
order-delivery,ORD-0004,quantity,21,count
order-delivery,ORD-0005,revenue,845775,JPY
order-delivery,ORD-0005,profit_margin,0.167,percent
order-delivery,ORD-0005,quantity,82,count
order-delivery,ORD-0006,revenue,1964985,JPY
order-delivery,ORD-0006,profit_margin,0.336,percent
order-delivery,ORD-0006,quantity,92,count
order-delivery,ORD-0007,revenue,1275965,JPY
order-delivery,ORD-0007,profit_margin,0.207,percent
order-delivery,ORD-0007,quantity,75,count
order-delivery,ORD-0008,revenue,935333,JPY
order-delivery,ORD-0008,profit_margin,0.249,percent
order-delivery,ORD-0008,quantity,50,count
order-delivery,ORD-0009,revenue,763399,JPY
order-delivery,ORD-0009,profit_margin,0.128,percent
order-delivery,ORD-0009,quantity,56,count
order-delivery,ORD-0010,revenue,1815108,JPY
order-delivery,ORD-0010,profit_margin,0.26,percent
order-delivery,ORD-0010,quantity,78,count
order-delivery,ORD-0011,revenue,1892813,JPY
order-delivery,ORD-0011,profit_margin,0.346,percent
order-delivery,ORD-0011,quantity,40,count
order-delivery,ORD-0012,revenue,1433597,JPY
order-delivery,ORD-0012,profit_margin,0.219,percent
order-delivery,ORD-0012,quantity,71,count
order-delivery,ORD-0013,revenue,1412893,JPY
order-delivery,ORD-0013,profit_margin,0.193,percent
order-delivery,ORD-0013,quantity,67,count
order-delivery,ORD-0014,revenue,191348,JPY
order-delivery,ORD-0014,profit_margin,0.326,percent
order-delivery,ORD-0014,quantity,43,count
order-delivery,ORD-0015,revenue,1743443,JPY
order-delivery,ORD-0015,profit_margin,0.202,percent
order-delivery,ORD-0015,quantity,13,count
order-delivery,ORD-0016,revenue,761569,JPY
order-delivery,ORD-0016,profit_margin,0.3,percent
order-delivery,ORD-0016,quantity,14,count
order-delivery,ORD-0017,revenue,255329,JPY
order-delivery,ORD-0017,profit_margin,0.113,percent
order-delivery,ORD-0017,quantity,70,count
order-delivery,ORD-0018,revenue,868773,JPY
order-delivery,ORD-0018,profit_margin,0.166,percent
order-delivery,ORD-0018,quantity,59,count
order-delivery,ORD-0019,revenue,1592952,JPY
order-delivery,ORD-0019,profit_margin,0.236,percent
order-delivery,ORD-0019,quantity,96,count
order-delivery,ORD-0020,revenue,192524,JPY
order-delivery,ORD-0020,profit_margin,0.269,percent
order-delivery,ORD-0020,quantity,31,count
order-delivery,ORD-0021,revenue,478362,JPY
order-delivery,ORD-0021,profit_margin,0.267,percent
order-delivery,ORD-0021,quantity,41,count
order-delivery,ORD-0022,revenue,259675,JPY
order-delivery,ORD-0022,profit_margin,0.118,percent
order-delivery,ORD-0022,quantity,28,count
order-delivery,ORD-0023,revenue,1742611,JPY
order-delivery,ORD-0023,profit_margin,0.263,percent
order-delivery,ORD-0023,quantity,2,count
order-delivery,ORD-0024,revenue,1318420,JPY
order-delivery,ORD-0024,profit_margin,0.153,percent
order-delivery,ORD-0024,quantity,44,count
order-delivery,ORD-0025,revenue,57435,JPY
order-delivery,ORD-0025,profit_margin,0.183,percent
order-delivery,ORD-0025,quantity,17,count
order-delivery,ORD-0026,revenue,1800272,JPY
order-delivery,ORD-0026,profit_margin,0.192,percent
order-delivery,ORD-0026,quantity,71,count
order-delivery,ORD-0027,revenue,265573,JPY
order-delivery,ORD-0027,profit_margin,0.188,percent
order-delivery,ORD-0027,quantity,72,count
order-delivery,ORD-0028,revenue,1988790,JPY
order-delivery,ORD-0028,profit_margin,0.183,percent
order-delivery,ORD-0028,quantity,53,count
order-delivery,ORD-0029,revenue,783286,JPY
order-delivery,ORD-0029,profit_margin,0.176,percent
order-delivery,ORD-0029,quantity,30,count
order-delivery,ORD-0030,revenue,744471,JPY
order-delivery,ORD-0030,profit_margin,0.335,percent
order-delivery,ORD-0030,quantity,15,count
order-delivery,ORD-0031,revenue,292526,JPY
order-delivery,ORD-0031,profit_margin,0.196,percent
order-delivery,ORD-0031,quantity,74,count
order-delivery,ORD-0032,revenue,1443007,JPY
order-delivery,ORD-0032,profit_margin,0.33,percent
order-delivery,ORD-0032,quantity,80,count
order-delivery,ORD-0033,revenue,931739,JPY
order-delivery,ORD-0033,profit_margin,0.266,percent
order-delivery,ORD-0033,quantity,49,count
order-delivery,ORD-0034,revenue,1423017,JPY
order-delivery,ORD-0034,profit_margin,0.181,percent
order-delivery,ORD-0034,quantity,57,count
order-delivery,ORD-0035,revenue,752940,JPY
order-delivery,ORD-0035,profit_margin,0.123,percent
order-delivery,ORD-0035,quantity,97,count
order-delivery,ORD-0036,revenue,1908363,JPY
order-delivery,ORD-0036,profit_margin,0.257,percent
order-delivery,ORD-0036,quantity,25,count
order-delivery,ORD-0037,revenue,418861,JPY
order-delivery,ORD-0037,profit_margin,0.301,percent
order-delivery,ORD-0037,quantity,90,count
order-delivery,ORD-0038,revenue,1633874,JPY
order-delivery,ORD-0038,profit_margin,0.323,percent
order-delivery,ORD-0038,quantity,79,count
order-delivery,ORD-0039,revenue,1656027,JPY
order-delivery,ORD-0039,profit_margin,0.294,percent
order-delivery,ORD-0039,quantity,63,count
order-delivery,ORD-0040,revenue,1505318,JPY
order-delivery,ORD-0040,profit_margin,0.138,percent
order-delivery,ORD-0040,quantity,28,count
order-delivery,ORD-0041,revenue,1846697,JPY
order-delivery,ORD-0041,profit_margin,0.32,percent
order-delivery,ORD-0041,quantity,74,count
order-delivery,ORD-0042,revenue,1932846,JPY
order-delivery,ORD-0042,profit_margin,0.155,percent
order-delivery,ORD-0042,quantity,29,count
order-delivery,ORD-0043,revenue,1170138,JPY
order-delivery,ORD-0043,profit_margin,0.107,percent
order-delivery,ORD-0043,quantity,51,count
order-delivery,ORD-0044,revenue,757789,JPY
order-delivery,ORD-0044,profit_margin,0.29,percent
order-delivery,ORD-0044,quantity,49,count
order-delivery,ORD-0045,revenue,134427,JPY
order-delivery,ORD-0045,profit_margin,0.289,percent
order-delivery,ORD-0045,quantity,32,count
order-delivery,ORD-0046,revenue,1320649,JPY
order-delivery,ORD-0046,profit_margin,0.252,percent
order-delivery,ORD-0046,quantity,96,count
order-delivery,ORD-0047,revenue,1791834,JPY
order-delivery,ORD-0047,profit_margin,0.257,percent
order-delivery,ORD-0047,quantity,14,count
order-delivery,ORD-0048,revenue,1111076,JPY
order-delivery,ORD-0048,profit_margin,0.262,percent
order-delivery,ORD-0048,quantity,2,count
order-delivery,ORD-0049,revenue,616403,JPY
order-delivery,ORD-0049,profit_margin,0.254,percent
order-delivery,ORD-0049,quantity,69,count
order-delivery,ORD-0050,revenue,1245061,JPY
order-delivery,ORD-0050,profit_margin,0.253,percent
order-delivery,ORD-0050,quantity,49,count
