process_type,case_id,metric_name,metric_value,metric_unit
order-to-cash,ORD-0001,revenue,929796,JPY
order-to-cash,ORD-0001,profit_margin,0.155,percent
order-to-cash,ORD-0001,quantity,76,count
order-to-cash,ORD-0002,revenue,843844,JPY
order-to-cash,ORD-0002,profit_margin,0.12,percent
order-to-cash,ORD-0002,quantity,38,count
order-to-cash,ORD-0003,revenue,795056,JPY
order-to-cash,ORD-0003,profit_margin,0.152,percent
order-to-cash,ORD-0003,quantity,35,count
order-to-cash,ORD-0004,revenue,1773444,JPY
order-to-cash,ORD-0004,profit_margin,0.108,percent
order-to-cash,ORD-0004,quantity,41,count
order-to-cash,ORD-0005,revenue,1275965,JPY
order-to-cash,ORD-0005,profit_margin,0.207,percent
order-to-cash,ORD-0005,quantity,75,count
order-to-cash,ORD-0006,revenue,74077,JPY
order-to-cash,ORD-0006,profit_margin,0.27,percent
order-to-cash,ORD-0006,quantity,15,count
order-to-cash,ORD-0007,revenue,1327103,JPY
order-to-cash,ORD-0007,profit_margin,0.15,percent
order-to-cash,ORD-0007,quantity,48,count
order-to-cash,ORD-0008,revenue,1069195,JPY
order-to-cash,ORD-0008,profit_margin,0.304,percent
order-to-cash,ORD-0008,quantity,98,count
order-to-cash,ORD-0009,revenue,968762,JPY
order-to-cash,ORD-0009,profit_margin,0.325,percent
order-to-cash,ORD-0009,quantity,58,count
order-to-cash,ORD-0010,revenue,1180855,JPY
order-to-cash,ORD-0010,profit_margin,0.133,percent
order-to-cash,ORD-0010,quantity,74,count
order-to-cash,ORD-0011,revenue,1174672,JPY
order-to-cash,ORD-0011,profit_margin,0.212,percent
order-to-cash,ORD-0011,quantity,55,count
order-to-cash,ORD-0012,revenue,1863303,JPY
order-to-cash,ORD-0012,profit_margin,0.2,percent
order-to-cash,ORD-0012,quantity,8,count
order-to-cash,ORD-0013,revenue,1592952,JPY
order-to-cash,ORD-0013,profit_margin,0.236,percent
order-to-cash,ORD-0013,quantity,96,count
order-to-cash,ORD-0014,revenue,566351,JPY
order-to-cash,ORD-0014,profit_margin,0.245,percent
order-to-cash,ORD-0014,quantity,6,count
order-to-cash,ORD-0015,revenue,1011094,JPY
order-to-cash,ORD-0015,profit_margin,0.255,percent
order-to-cash,ORD-0015,quantity,73,count
order-to-cash,ORD-0016,revenue,1213085,JPY
order-to-cash,ORD-0016,profit_margin,0.175,percent
order-to-cash,ORD-0016,quantity,85,count
order-to-cash,ORD-0017,revenue,243563,JPY
order-to-cash,ORD-0017,profit_margin,0.259,percent
order-to-cash,ORD-0017,quantity,36,count
order-to-cash,ORD-0018,revenue,317272,JPY
order-to-cash,ORD-0018,profit_margin,0.11,percent
order-to-cash,ORD-0018,quantity,47,count
order-to-cash,ORD-0019,revenue,101980,JPY
order-to-cash,ORD-0019,profit_margin,0.145,percent
order-to-cash,ORD-0019,quantity,43,count
order-to-cash,ORD-0020,revenue,1434189,JPY
order-to-cash,ORD-0020,profit_margin,0.148,percent
order-to-cash,ORD-0020,quantity,43,count
order-to-cash,ORD-0021,revenue,707829,JPY
order-to-cash,ORD-0021,profit_margin,0.209,percent
order-to-cash,ORD-0021,quantity,66,count
order-to-cash,ORD-0022,revenue,1441224,JPY
order-to-cash,ORD-0022,profit_margin,0.312,percent
order-to-cash,ORD-0022,quantity,93,count
order-to-cash,ORD-0023,revenue,651701,JPY
order-to-cash,ORD-0023,profit_margin,0.153,percent
order-to-cash,ORD-0023,quantity,75,count
order-to-cash,ORD-0024,revenue,1625250,JPY
order-to-cash,ORD-0024,profit_margin,0.159,percent
order-to-cash,ORD-0024,quantity,40,count
order-to-cash,ORD-0025,revenue,61628,JPY
order-to-cash,ORD-0025,profit_margin,0.323,percent
order-to-cash,ORD-0025,quantity,99,count
order-to-cash,ORD-0026,revenue,1919455,JPY
order-to-cash,ORD-0026,profit_margin,0.211,percent
order-to-cash,ORD-0026,quantity,93,count
order-to-cash,ORD-0027,revenue,649215,JPY
order-to-cash,ORD-0027,profit_margin,0.159,percent
order-to-cash,ORD-0027,quantity,43,count
order-to-cash,ORD-0028,revenue,1508617,JPY
