process_type,case_id,metric_name,metric_value,metric_unit
itsm,INC-0001,resolution_time_hours,32.09,hours
itsm,INC-0001,priority_weight,4.0,weight
itsm,INC-0002,resolution_time_hours,7.81,hours
itsm,INC-0002,priority_weight,8.0,weight
itsm,INC-0003,resolution_time_hours,24.48,hours
itsm,INC-0003,priority_weight,4.0,weight
itsm,INC-0004,resolution_time_hours,14.4,hours
itsm,INC-0004,priority_weight,4.0,weight
itsm,INC-0005,resolution_time_hours,39.44,hours
itsm,INC-0005,priority_weight,4.0,weight
itsm,INC-0006,resolution_time_hours,12.35,hours
itsm,INC-0006,priority_weight,2.0,weight
itsm,INC-0007,resolution_time_hours,22.0,hours
itsm,INC-0007,priority_weight,4.0,weight
itsm,INC-0008,resolution_time_hours,37.21,hours
itsm,INC-0008,priority_weight,8.0,weight
itsm,INC-0009,resolution_time_hours,9.72,hours
itsm,INC-0009,priority_weight,8.0,weight
itsm,INC-0010,resolution_time_hours,26.49,hours
itsm,INC-0010,priority_weight,1.0,weight
itsm,INC-0011,resolution_time_hours,36.04,hours
itsm,INC-0011,priority_weight,2.0,weight
itsm,INC-0012,resolution_time_hours,12.33,hours
itsm,INC-0012,priority_weight,2.0,weight
itsm,INC-0013,resolution_time_hours,29.66,hours
itsm,INC-0013,priority_weight,4.0,weight
itsm,INC-0014,resolution_time_hours,16.05,hours
itsm,INC-0014,priority_weight,4.0,weight
itsm,INC-0015,resolution_time_hours,8.74,hours
itsm,INC-0015,priority_weight,1.0,weight
itsm,INC-0016,resolution_time_hours,9.5,hours
itsm,INC-0016,priority_weight,8.0,weight
itsm,INC-0017,resolution_time_hours,8.66,hours
itsm,INC-0017,priority_weight,1.0,weight
itsm,INC-0018,resolution_time_hours,25.45,hours
itsm,INC-0018,priority_weight,2.0,weight
itsm,INC-0019,resolution_time_hours,9.95,hours
itsm,INC-0019,priority_weight,2.0,weight
itsm,INC-0020,resolution_time_hours,18.24,hours
itsm,INC-0020,priority_weight,8.0,weight
itsm,INC-0021,resolution_time_hours,7.94,hours
itsm,INC-0021,priority_weight,2.0,weight
