process_type,case_id,metric_name,metric_value,metric_unit
system-development,DEV-0001,lead_time_days,61,days
system-development,DEV-0001,story_points,33,points
system-development,DEV-0001,defect_count,7,count
system-development,DEV-0002,lead_time_days,63,days
system-development,DEV-0002,story_points,41,points
system-development,DEV-0002,defect_count,9,count
system-development,DEV-0003,lead_time_days,65,days
system-development,DEV-0003,story_points,29,points
system-development,DEV-0003,defect_count,5,count
system-development,DEV-0004,lead_time_days,66,days
system-development,DEV-0004,story_points,44,points
system-development,DEV-0004,defect_count,5,count
system-development,DEV-0005,lead_time_days,73,days
system-development,DEV-0005,story_points,50,points
system-development,DEV-0005,defect_count,1,count
system-development,DEV-0006,lead_time_days,65,days
system-development,DEV-0006,story_points,25,points
system-development,DEV-0006,defect_count,5,count
system-development,DEV-0007,lead_time_days,69,days
system-development,DEV-0007,story_points,50,points
system-development,DEV-0007,defect_count,8,count
system-development,DEV-0008,lead_time_days,88,days
system-development,DEV-0008,story_points,15,points
system-development,DEV-0008,defect_count,4,count
system-development,DEV-0009,lead_time_days,73,days
system-development,DEV-0009,story_points,27,points
system-development,DEV-0009,defect_count,6,count
system-development,DEV-0010,lead_time_days,75,days
system-development,DEV-0010,story_points,42,points
system-development,DEV-0010,defect_count,5,count
system-development,DEV-0011,lead_time_days,81,days
system-development,DEV-0011,story_points,23,points
system-development,DEV-0011,defect_count,0,count
system-development,DEV-0012,lead_time_days,62,days
system-development,DEV-0012,story_points,20,points
system-development,DEV-0012,defect_count,1,count
system-development,DEV-0013,lead_time_days,47,days
system-development,DEV-0013,story_points,14,points
system-development,DEV-0013,defect_count,5,count
system-development,DEV-0014,lead_time_days,67,days
system-development,DEV-0014,story_points,5,points
system-development,DEV-0014,defect_count,8,count
system-development,DEV-0015,lead_time_days,87,days
system-development,DEV-0015,story_points,26,points
system-development,DEV-0015,defect_count,1,count
system-development,DEV-0016,lead_time_days,72,days
system-development,DEV-0016,story_points,42,points
system-development,DEV-0016,defect_count,8,count
system-development,DEV-0017,lead_time_days,66,days
system-development,DEV-0017,story_points,30,points
system-development,DEV-0017,defect_count,2,count
system-development,DEV-0018,lead_time_days,74,days
system-development,DEV-0018,story_points,33,points
system-development,DEV-0018,defect_count,4,count
system-development,DEV-0019,lead_time_days,82,days
system-development,DEV-0019,story_points,26,points
system-development,DEV-0019,defect_count,1,count
system-development,DEV-0020,lead_time_days,76,days
system-development,DEV-0020,story_points,7,points
system-development,DEV-0020,defect_count,4,count
system-development,DEV-0021,lead_time_days,61,days
system-development,DEV-0021,story_points,12,points
system-development,DEV-0021,defect_count,10,count
system-development,DEV-0022,lead_time_days,68,days
system-development,DEV-0022,story_points,32,points
system-development,DEV-0022,defect_count,4,count
system-development,DEV-0023,lead_time_days,57,days
system-development,DEV-0023,story_points,25,points
system-development,DEV-0023,defect_count,7,count
system-development,DEV-0024,lead_time_days,68,days
system-development,DEV-0024,story_points,37,points
system-development,DEV-0024,defect_count,3,count
system-development,DEV-0025,lead_time_days,88,days
system-development,DEV-0025,story_points,13,points
system-development,DEV-0025,defect_count,8,count
system-development,DEV-0026,lead_time_days,102,days
system-development,DEV-0026,story_points,39,points
system-development,DEV-0026,defect_count,8,count
system-development,DEV-0027,lead_time_days,66,days
system-development,DEV-0027,story_points,33,points
system-development,DEV-0027,defect_count,9,count
system-development,DEV-0028,lead_time_days,49,days
system-development,DEV-0028,story_points,13,points
system-development,DEV-0028,defect_count,3,count
system-development,DEV-0029,lead_time_days,70,days
system-development,DEV-0029,story_points,42,points
system-development,DEV-0029,defect_count,0,count
system-development,DEV-0030,lead_time_days,60,days
system-development,DEV-0030,story_points,6,points
system-development,DEV-0030,defect_count,1,count
