order_id,order_status,status_changed_at,employee_id
ORD-0001,受注登録,2024-11-23 03:01:00,EMP-001
ORD-0001,入金確認,2024-11-23 04:37:44,SYSTEM
ORD-0001,在庫確認,2024-11-23 04:56:26,EMP-003
ORD-0001,ピッキング,2024-11-23 08:09:45,EMP-003
ORD-0001,梱包,2024-11-23 09:28:50,EMP-003
ORD-0001,出荷完了,2024-11-23 10:16:33,EMP-004
ORD-0001,配送完了,2024-11-24 10:16:33,EMP-005
ORD-0002,受注登録,2024-09-15 19:01:00,EMP-001
ORD-0002,入金確認,2024-09-15 20:21:30,SYSTEM
ORD-0002,在庫確認,2024-09-15 21:07:10,EMP-003
ORD-0002,ピッキング,2024-09-15 23:28:01,EMP-003
ORD-0002,梱包,2024-09-16 00:23:04,EMP-003
ORD-0002,出荷完了,2024-09-16 01:19:08,EMP-004
ORD-0002,配送完了,2024-09-17 01:19:08,EMP-005
ORD-0003,受注登録,2024-03-20 06:48:00,EMP-001
ORD-0003,入金エラー,2024-03-20 07:48:17,SYSTEM
ORD-0003,入金確認,2024-03-20 13:44:21,SYSTEM
ORD-0003,在庫確認,2024-03-20 14:37:01,EMP-003
ORD-0003,ピッキング,2024-03-20 18:02:18,EMP-003
ORD-0003,梱包,2024-03-20 19:37:59,EMP-003
ORD-0003,出荷完了,2024-03-20 20:24:04,EMP-004
ORD-0003,配送完了,2024-03-22 20:24:04,EMP-005
ORD-0004,受注登録,2024-11-12 11:36:00,EMP-001
ORD-0004,入金エラー,2024-11-12 12:23:18,SYSTEM
ORD-0004,入金確認,2024-11-13 05:36:49,SYSTEM
ORD-0004,在庫確認,2024-11-13 06:25:55,EMP-003
ORD-0004,ピッキング,2024-11-13 09:59:53,EMP-003
ORD-0004,梱包,2024-11-13 11:47:52,EMP-003
ORD-0004,出荷完了,2024-11-13 12:29:16,EMP-004
ORD-0004,配送完了,2024-11-15 12:29:16,EMP-005
ORD-0005,受注登録,2024-07-08 11:13:00,EMP-001
ORD-0005,入金確認,2024-07-08 12:43:18,SYSTEM
ORD-0005,在庫確認,2024-07-08 13:28:07,EMP-003
ORD-0005,ピッキング,2024-07-08 16:22:25,EMP-003
ORD-0005,梱包,2024-07-08 17:40:29,EMP-003
ORD-0005,出荷完了,2024-07-08 18:17:50,EMP-004
ORD-0005,配送完了,2024-07-10 18:17:50,EMP-005
ORD-0006,受注登録,2024-12-18 17:14:00,EMP-001
ORD-0006,入金確認,2024-12-18 18:45:36,SYSTEM
ORD-0006,在庫確認,2024-12-18 19:34:51,EMP-003
ORD-0006,ピッキング,2024-12-18 20:40:38,EMP-003
ORD-0006,梱包,2024-12-18 21:39:01,EMP-003
ORD-0006,出荷完了,2024-12-18 22:17:03,EMP-004
ORD-0006,配送完了,2024-12-19 22:17:03,EMP-005
ORD-0007,受注登録,2024-06-10 06:41:00,EMP-001
ORD-0007,入金確認,2024-06-10 07:55:55,SYSTEM
ORD-0007,在庫確認,2024-06-10 08:38:47,EMP-003
ORD-0007,ピッキング,2024-06-10 10:03:55,EMP-003
ORD-0007,梱包,2024-06-10 11:40:58,EMP-003
ORD-0007,出荷完了,2024-06-10 12:27:08,EMP-004
ORD-0007,配送完了,2024-06-13 12:27:08,EMP-005
ORD-0008,受注登録,2024-07-23 11:14:00,EMP-001
ORD-0008,入金確認,2024-07-23 13:13:45,SYSTEM
ORD-0008,在庫確認,2024-07-23 13:49:26,EMP-003
ORD-0008,ピッキング,2024-07-23 17:24:26,EMP-003
ORD-0008,梱包,2024-07-23 18:08:12,EMP-003
ORD-0008,出荷完了,2024-07-23 18:43:00,EMP-004
ORD-0008,配送完了,2024-07-26 18:43:00,EMP-005
ORD-0009,受注登録,2024-07-14 19:29:00,EMP-001
ORD-0009,入金確認,2024-07-14 20:46:37,SYSTEM
ORD-0009,在庫不足,2024-07-14 21:39:56,EMP-003
