process_type,case_id,activity,event_time,employee_id
itsm,INC-0001,インシデント報告,2024-11-23 03:01:00,SYSTEM
itsm,INC-0001,サポート割当,2024-11-23 03:20:13,EMP-014
itsm,INC-0001,初期調査,2024-11-23 04:11:09,EMP-013
itsm,INC-0001,エスカレーション,2024-11-23 07:24:28,EMP-014
itsm,INC-0001,解決策適用,2024-11-23 21:24:21,EMP-013
itsm,INC-0001,検証,2024-11-23 22:47:30,EMP-020
itsm,INC-0001,再オープン,2024-11-24 00:26:51,SYSTEM
itsm,INC-0001,解決策適用,2024-11-24 07:14:22,EMP-013
itsm,INC-0001,検証,2024-11-24 08:38:33,EMP-020
itsm,INC-0001,クローズ,2024-11-24 11:06:24,SYSTEM
itsm,INC-0002,インシデント報告,2024-11-28 22:34:00,SYSTEM
itsm,INC-0002,サポート割当,2024-11-28 22:51:54,EMP-014
itsm,INC-0002,初期調査,2024-11-29 00:50:17,EMP-013
itsm,INC-0002,解決策適用,2024-11-29 02:58:52,EMP-013
itsm,INC-0002,検証,2024-11-29 04:41:23,EMP-020
itsm,INC-0002,クローズ,2024-11-29 06:22:50,SYSTEM
itsm,INC-0003,インシデント報告,2024-03-20 06:48:00,SYSTEM
itsm,INC-0003,サポート割当,2024-03-20 06:59:31,EMP-014
itsm,INC-0003,初期調査,2024-03-20 08:26:30,EMP-013
itsm,INC-0003,解決策適用,2024-03-20 18:00:31,EMP-013
itsm,INC-0003,検証,2024-03-20 18:54:20,EMP-020
itsm,INC-0003,再オープン,2024-03-20 23:07:17,SYSTEM
itsm,INC-0003,解決策適用,2024-03-21 04:37:10,EMP-013
itsm,INC-0003,検証,2024-03-21 06:30:10,EMP-020
itsm,INC-0003,クローズ,2024-03-21 07:16:43,SYSTEM
itsm,INC-0004,インシデント報告,2024-05-30 20:39:00,SYSTEM
itsm,INC-0004,サポート割当,2024-05-30 21:16:10,EMP-014
itsm,INC-0004,初期調査,2024-05-30 23:31:51,EMP-013
itsm,INC-0004,エスカレーション,2024-05-31 01:12:53,EMP-014
itsm,INC-0004,解決策適用,2024-05-31 09:34:52,EMP-013
itsm,INC-0004,検証,2024-05-31 10:12:03,EMP-020
itsm,INC-0004,クローズ,2024-05-31 11:03:16,SYSTEM
itsm,INC-0005,インシデント報告,2024-05-22 14:40:00,SYSTEM
itsm,INC-0005,サポート割当,2024-05-22 14:54:46,EMP-014
itsm,INC-0005,初期調査,2024-05-22 16:18:04,EMP-013
itsm,INC-0005,解決策適用,2024-05-23 09:44:28,EMP-013
itsm,INC-0005,検証,2024-05-23 11:15:59,EMP-020
itsm,INC-0005,再オープン,2024-05-23 16:42:41,SYSTEM
itsm,INC-0005,解決策適用,2024-05-24 03:07:16,EMP-013
itsm,INC-0005,検証,2024-05-24 03:59:18,EMP-020
itsm,INC-0005,クローズ,2024-05-24 06:06:22,SYSTEM
itsm,INC-0006,インシデント報告,2024-05-18 20:44:00,SYSTEM
itsm,INC-0006,サポート割当,2024-05-18 21:26:58,EMP-014
itsm,INC-0006,初期調査,2024-05-19 00:03:23,EMP-013
itsm,INC-0006,解決策適用,2024-05-19 07:05:44,EMP-013
itsm,INC-0006,検証,2024-05-19 07:38:37,EMP-020
itsm,INC-0006,クローズ,2024-05-19 09:04:51,SYSTEM
itsm,INC-0007,インシデント報告,2024-04-18 18:56:00,SYSTEM
itsm,INC-0007,サポート割当,2024-04-18 19:13:28,EMP-014
itsm,INC-0007,初期調査,2024-04-18 20:58:21,EMP-013
itsm,INC-0007,解決策適用,2024-04-19 13:06:55,EMP-013
itsm,INC-0007,検証,2024-04-19 13:49:47,EMP-020
itsm,INC-0007,クローズ,2024-04-19 16:56:14,SYSTEM
itsm,INC-0008,インシデント報告,2024-10-02 08:47:00,SYSTEM
itsm,INC-0008,サポート割当,2024-10-02 09:41:28,EMP-014
itsm,INC-0008,初期調査,2024-10-02 11:11:23,EMP-013
itsm,INC-0008,エスカレーション,2024-10-02 15:10:56,EMP-014
itsm,INC-0008,解決策適用,2024-10-03 04:23:31,EMP-013
itsm,INC-0008,検証,2024-10-03 05:01:42,EMP-020
itsm,INC-0008,再オープン,2024-10-03 06:47:45,SYSTEM
itsm,INC-0008,解決策適用,2024-10-03 18:19:31,EMP-013
itsm,INC-0008,検証,2024-10-03 20:00:48,EMP-020
itsm,INC-0008,クローズ,2024-10-03 21:59:27,SYSTEM
itsm,INC-0009,インシデント報告,2024-02-02 12:24:00,SYSTEM
itsm,INC-0009,サポート割当,2024-02-02 12:58:34,EMP-014
itsm,INC-0009,初期調査,2024-02-02 15:54:14,EMP-013
itsm,INC-0009,解決策適用,2024-02-02 18:09:23,EMP-013
itsm,INC-0009,検証,2024-02-02 19:44:15,EMP-020
itsm,INC-0009,クローズ,2024-02-02 22:07:01,SYSTEM
itsm,INC-0010,インシデント報告,2024-05-16 20:21:00,SYSTEM
itsm,INC-0010,サポート割当,2024-05-16 20:42:50,EMP-014
itsm,INC-0010,初期調査,2024-05-16 21:36:34,EMP-013
itsm,INC-0010,エスカレーション,2024-05-17 00:46:32,EMP-014
itsm,INC-0010,解決策適用,2024-05-17 18:36:31,EMP-013
itsm,INC-0010,検証,2024-05-17 20:33:59,EMP-020
itsm,INC-0010,クローズ,2024-05-17 22:50:36,SYSTEM
itsm,INC-0011,インシデント報告,2024-02-24 20:19:00,SYSTEM
itsm,INC-0011,サポート割当,2024-02-24 20:33:15,EMP-014
itsm,INC-0011,初期調査,2024-02-24 22:57:37,EMP-013
itsm,INC-0011,解決策適用,2024-02-25 18:05:25,EMP-013
itsm,INC-0011,検証,2024-02-25 19:23:08,EMP-020
itsm,INC-0011,再オープン,2024-02-25 22:39:17,SYSTEM
itsm,INC-0011,解決策適用,2024-02-26 02:53:19,EMP-013
itsm,INC-0011,検証,2024-02-26 04:46:56,EMP-020
itsm,INC-0011,クローズ,2024-02-26 08:21:28,SYSTEM
itsm,INC-0012,インシデント報告,2024-06-06 07:03:00,SYSTEM
itsm,INC-0012,サポート割当,2024-06-06 07:56:24,EMP-014
itsm,INC-0012,初期調査,2024-06-06 10:48:27,EMP-013
itsm,INC-0012,エスカレーション,2024-06-06 13:15:55,EMP-014
itsm,INC-0012,解決策適用,2024-06-06 16:47:17,EMP-013
itsm,INC-0012,検証,2024-06-06 18:25:44,EMP-020
itsm,INC-0012,クローズ,2024-06-06 19:22:42,SYSTEM
itsm,INC-0013,インシデント報告,2024-08-31 17:10:00,SYSTEM
itsm,INC-0013,サポート割当,2024-08-31 17:44:29,EMP-014
itsm,INC-0013,初期調査,2024-08-31 19:45:29,EMP-013
itsm,INC-0013,解決策適用,2024-09-01 18:11:38,EMP-013
itsm,INC-0013,検証,2024-09-01 19:49:37,EMP-020
itsm,INC-0013,クローズ,2024-09-01 22:49:20,SYSTEM
itsm,INC-0014,インシデント報告,2024-07-23 21:41:00,SYSTEM
itsm,INC-0014,サポート割当,2024-07-23 22:10:39,EMP-014
itsm,INC-0014,初期調査,2024-07-23 23:58:17,EMP-013
itsm,INC-0014,エスカレーション,2024-07-24 01:38:44,EMP-014
itsm,INC-0014,解決策適用,2024-07-24 11:05:00,EMP-013
itsm,INC-0014,検証,2024-07-24 12:27:57,EMP-020
itsm,INC-0014,クローズ,2024-07-24 13:44:12,SYSTEM
itsm,INC-0015,インシデント報告,2024-02-06 22:40:00,SYSTEM
itsm,INC-0015,サポート割当,2024-02-06 22:58:21,EMP-014
itsm,INC-0015,初期調査,2024-02-07 01:44:10,EMP-013
itsm,INC-0015,解決策適用,2024-02-07 05:17:42,EMP-013
itsm,INC-0015,検証,2024-02-07 06:09:07,EMP-020
itsm,INC-0015,クローズ,2024-02-07 07:24:07,SYSTEM
itsm,INC-0016,インシデント報告,2024-03-08 23:59:00,SYSTEM
itsm,INC-0016,サポート割当,2024-03-09 00:18:07,EMP-014
itsm,INC-0016,初期調査,2024-03-09 01:59:04,EMP-013
itsm,INC-0016,解決策適用,2024-03-09 06:03:34,EMP-013
itsm,INC-0016,検証,2024-03-09 07:32:53,EMP-020
itsm,INC-0016,クローズ,2024-03-09 09:29:13,SYSTEM
itsm,INC-0017,インシデント報告,2024-01-28 21:41:00,SYSTEM
itsm,INC-0017,サポート割当,2024-01-28 21:50:16,EMP-014
itsm,INC-0017,初期調査,2024-01-29 00:09:30,EMP-013
itsm,INC-0017,解決策適用,2024-01-29 04:33:44,EMP-013
itsm,INC-0017,検証,2024-01-29 05:20:59,EMP-020
itsm,INC-0017,クローズ,2024-01-29 06:20:25,SYSTEM
itsm,INC-0018,インシデント報告,2024-04-03 08:29:00,SYSTEM
itsm,INC-0018,サポート割当,2024-04-03 09:22:13,EMP-014
itsm,INC-0018,初期調査,2024-04-03 10:03:31,EMP-013
itsm,INC-0018,解決策適用,2024-04-04 06:53:24,EMP-013
itsm,INC-0018,検証,2024-04-04 07:32:13,EMP-020
itsm,INC-0018,クローズ,2024-04-04 09:55:44,SYSTEM
itsm,INC-0019,インシデント報告,2024-01-08 02:59:00,SYSTEM
itsm,INC-0019,サポート割当,2024-01-08 03:13:58,EMP-014
itsm,INC-0019,初期調査,2024-01-08 04:56:49,EMP-013
itsm,INC-0019,エスカレーション,2024-01-08 07:09:00,EMP-014
itsm,INC-0019,解決策適用,2024-01-08 10:26:24,EMP-013
itsm,INC-0019,検証,2024-01-08 11:30:31,EMP-020
itsm,INC-0019,クローズ,2024-01-08 12:56:12,SYSTEM
itsm,INC-0020,インシデント報告,2024-08-20 09:27:00,SYSTEM
itsm,INC-0020,サポート割当,2024-08-20 09:41:21,EMP-014
itsm,INC-0020,初期調査,2024-08-20 10:55:51,EMP-013
itsm,INC-0020,解決策適用,2024-08-21 01:40:22,EMP-013
itsm,INC-0020,検証,2024-08-21 02:59:10,EMP-020
itsm,INC-0020,クローズ,2024-08-21 03:41:11,SYSTEM
itsm,INC-0021,インシデント報告,2024-10-26 15:32:00,SYSTEM
itsm,INC-0021,サポート割当,2024-10-26 15:41:04,EMP-014
itsm,INC-0021,初期調査,2024-10-26 17:27:14,EMP-013
itsm,INC-0021,解決策適用,2024-10-26 20:57:41,EMP-013
itsm,INC-0021,検証,2024-10-26 21:33:48,EMP-020
itsm,INC-0021,クローズ,2024-10-26 23:28:36,SYSTEM
itsm,INC-0022,インシデント報告,2024-10-18 07:37:00,SYSTEM
itsm,INC-0022,サポート割当,2024-10-18 08:16:26,EMP-014
itsm,INC-0022,初期調査,2024-10-18 09:49:19,EMP-013
itsm,INC-0022,解決策適用,2024-10-18 23:19:24,EMP-013
itsm,INC-0022,検証,2024-10-19 01:13:31,EMP-020
itsm,INC-0022,クローズ,2024-10-19 04:13:55,SYSTEM
itsm,INC-0023,インシデント報告,2024-05-02 08:25:00,SYSTEM
itsm,INC-0023,サポート割当,2024-05-02 09:07:16,EMP-014
itsm,INC-0023,初期調査,2024-05-02 10:22:16,EMP-013
itsm,INC-0023,解決策適用,2024-05-03 04:54:43,EMP-013
itsm,INC-0023,検証,2024-05-03 05:31:15,EMP-020
itsm,INC-0023,クローズ,2024-05-03 09:30:56,SYSTEM
itsm,INC-0024,インシデント報告,2024-02-21 02:34:00,SYSTEM
itsm,INC-0024,サポート割当,2024-02-21 03:07:19,EMP-014
itsm,INC-0024,初期調査,2024-02-21 03:57:11,EMP-013
itsm,INC-0024,解決策適用,2024-02-21 07:27:59,EMP-013
itsm,INC-0024,検証,2024-02-21 08:19:58,EMP-020
itsm,INC-0024,クローズ,2024-02-21 10:21:59,SYSTEM
itsm,INC-0025,インシデント報告,2024-10-05 22:19:00,SYSTEM
itsm,INC-0025,サポート割当,2024-10-05 23:01:03,EMP-014
itsm,INC-0025,初期調査,2024-10-06 00:54:15,EMP-013
